WH,Origin_Name,Origin_Address1,Origin_Address2,Origin_Address3,Origin_City,Origin_State,Origin_Zip,Shipping_Method,SCAC,Carrier_Name,RDC,Priority,Customer__,Ship_To,Customer_Name,Address1,Address2,City,ST,Zip,Entered_Date,Req_Ship_Date,Promise_Date,Customer_PO,Order__,Order_Line,Item,Customer_Item,Description,Qty_Ord,UOM,Stk_Qty_Ordered,STK_UOM,Ext_Item_Weight,LTL_Class,Accessorial_Code,EDI_Line_,Special_Project
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,1,10202638,,020 9x6-1/4x3-5/8 RSC 32B Kraft 1C/2P,14400.00,EA,14400.00,EA,3600,125,,1,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,2,10195770,S5,S5/040 11-3/16x6-15/16x5-1/8,12800.00,EA,12800.00,EA,4296,100,,2,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,3,10202639,,064 12-11/16x9x5-5/8 RSC 32B Kraft 1C/4P,12000.00,EA,12000.00,EA,6000,125,,3,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,4,10195771,S6,S6/099 13-7/8x10-11/16x6-11/16,14400.00,EA,14400.00,EA,9126,100,,4,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,5,10202640,,123 20-3/16x13-3/16x4-5/8,6000.00,EA,6000.00,EA,5400,125,,5,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,6,10202831,,127/426 11x10x11-1/2 RSC 32B Kraft 1C/4P,6400.00,EA,6400.00,EA,4480,125,,6,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,7,10195772,S7,S7/196 15-1/2x11x11-1/2 RSC 32C 2C/4P 40 Percent,3360.00,EA,3360.00,EA,3264,125,,7,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,8,10202642,,236 18-15/16x12-15/16x9-5/8,11200.00,EA,11200.00,EA,12119,125,,8,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,9,10202643,,298 33-15/16x18-15/16x4-5/8,1120.00,EA,1120.00,EA,2105,125,,9,
727,Shorr Pkg Corp - York,825 Locust Point Rd,c/o Moran Logistics,,York,PA,17406-6010,Ship from Store Common Carri,COMM,Common Carri,,REG,25091,1,Target.York PA 9475,325 S Salem Church Rd,,York,PA,17408-5500,11/18/2024,11/18/2024,11/18/2024,7007342108,70617610-00,10,10195773,L8,L8/307 20-11/16x13-15/16x10-5/8,3360.00,EA,3360.00,EA,4606,125,,10,
